Method,Model,CIFAR10,FMNIST,MNIST,STL10,SVHN,QMNIST,KMNIST
NoKD,resnet18,78.00999879837036,87.0199978351593,96.71000242233276,92.26250052452087,38.433465361595154,96.60333395004272,79.97000217437744
NoKD,squeezenet,52.960002422332764,66.46999716758728,69.37000155448914,51.06250047683716,34.9531352519989,78.288334608078,72.28000164031982
NoKD,densenet,85.44999957084656,87.98999786376953,95.55000066757202,97.06249833106995,48.444223403930664,95.44166922569275,79.1700005531311
NoKD,googlenet,80.19999861717224,85.39999723434448,95.49999833106995,93.52499842643738,44.026583433151245,95.50166726112366,76.49999856948853
NoKD,shufflenet,82.63000249862671,88.34999799728394,97.21999764442444,91.31249785423279,52.281808853149414,97.11833596229553,85.36999821662903
NoKD,mobilenet,77.23000049591064,85.9000027179718,96.06000185012817,92.47499704360962,43.4426873922348,96.07833623886108,79.22999858856201
NoKD,mnasnet,76.96999907493591,80.26999831199646,89.88999724388123,70.56249976158142,39.63967561721802,88.63166570663452,78.25000286102295
NoKD,resnext50_32x4d,79.78000044822693,84.31000113487244,92.54000186920166,94.93749737739563,38.114628195762634,92.34333038330078,65.85999727249146
NoKD,wide_resnet50_2,77.5600016117096,81.7799985408783,87.73999810218811,94.43749785423279,34.830209612846375,86.83333396911621,61.890000104904175
Cosine,resnet18,84.82000231742859,90.00999927520752,98.86000156402588,86.50000095367432,53.03088426589966,98.74666929244995,88.12000155448914
Cosine,squeezenet,84.16000008583069,90.829998254776,98.9799976348877,86.97500228881836,63.736939430236816,98.92666935920715,92.00000166893005
Cosine,densenet,86.59999966621399,90.53000211715698,98.82000088691711,88.53750228881836,54.99385595321655,98.79666566848755,89.2799973487854
Cosine,googlenet,83.42000246047974,88.78999948501587,98.15999865531921,77.87500023841858,56.35756254196167,98.28000068664551,82.56999850273132
Cosine,shufflenet,86.16999983787537,91.06000065803528,98.40999841690063,85.41250228881836,69.73724365234375,98.54833483695984,91.14000201225281
Cosine,mobilenet,83.74000191688538,83.78999829292297,98.37999939918518,81.5500020980835,50.89889168739319,98.54333400726318,80.32000064849854
Cosine,mnasnet,84.06000137329102,89.06000256538391,98.05999994277954,59.22499895095825,50.003838539123535,98.17666411399841,86.34999990463257
Cosine,resnext50_32x4d,86.04000210762024,84.82000231742859,98.65000247955322,86.93749904632568,66.9791042804718,98.54166507720947,87.22000122070312
L2,resnet18,81.69999718666077,85.10000109672546,96.88000082969666,74.31250214576721,40.062230825424194,96.59500122070312,79.75000143051147
L2,squeezenet,76.7799973487854,83.25999975204468,89.42000269889832,64.47499990463257,43.2429313659668,97.59500026702881,73.28000068664551
L2,densenet,84.21000242233276,84.31000113487244,97.81000018119812,84.47499871253967,47.871848940849304,97.59166836738586,82.15000033378601
L2,googlenet,65.6000018119812,81.69999718666077,88.27999830245972,13.750000298023224,38.057005405426025,94.52000260353088,59.2199981212616
L2,shufflenet,81.87000155448914,87.76000142097473,97.54999876022339,58.73749852180481,58.73924493789673,97.53166437149048,81.19999766349792
L2,mobilenet,74.68000054359436,82.96999931335449,79.28000092506409,34.23750102519989,39.66272175312042,88.7316644191742,66.39000177383423
L2,mnasnet,71.56999707221985,82.99000263214111,89.02999758720398,47.6375013589859,39.355409145355225,96.92833423614502,76.60999894142151
NLL,resnet18,86.08999848365784,91.38000011444092,99.15000200271606,86.04999780654907,83.33205580711365,99.15333390235901,90.75000286102295
NLL,squeezenet,70.74000239372253,83.59000086784363,99.21000003814697,70.46250104904175,62.06207871437073,98.93166422843933,93.86000037193298
NLL,densenet,88.06999921798706,91.75000190734863,99.16999936103821,88.59999775886536,85.14520525932312,99.12999868392944,92.65000224113464
NLL,googlenet,85.9499990940094,90.49999713897705,98.97000193595886,85.9375,73.02935123443604,99.03500080108643,90.16000032424927
NLL,shufflenet,87.66000270843506,91.94999933242798,98.84999990463257,87.02499866485596,73.4826385974884,98.92666935920715,92.84999966621399
NLL,mobilenet,86.84999942779541,91.64000153541565,99.01000261306763,86.48750185966492,79.41763997077942,99.0149974822998,92.47999787330627
NLL,mnasnet,87.55000233650208,91.39000177383423,98.87999892234802,87.59999871253967,78.15765142440796,98.85166883468628,90.88000059127808
NLL,resnext50_32x4d,87.1999979019165,91.69999957084656,99.09999966621399,87.34999895095825,84.3192994594574,99.03333187103271,91.06000065803528
NLL,wide_resnet50_2,86.71000003814697,91.0099983215332,98.86999726295471,85.98750233650208,82.8941285610199,98.9466667175293,90.75999855995178
